Tipo,Label,Nombre
E,¿Qué tan probable es que  Ud. Acuda al Concejo de CIUDAD para pedir que  cambien una  decisión de tomada por la alcaldía?,CC5E
E,Voy a leerle frases sobre el Concejo de CIUDAD. Quisiera que me dijera ¿qué tan de acuerdo o en desacuerdo está con cada una de ellas- El Concejo de CIUDAD representa bien los intereses de la ciudadanía,CC6_1
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- El voto se puede usar para castigar a los malos concejales.,CC6_10
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Los ciudadanos no pueden hacer nada frente a los malos concejales.,CC6_11
E,"Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-  El concejo es una institución importante, el problema son las personas escogidas como concejales.",CC6_12
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-  El Alcalde de Ciudad no debe acceder a ninguna petición de los concejales aunque eso signifique la no aprobación de proyectos claves para la ciudad.,CC6_13
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- La actitud de los concejales obstaculiza la gestión del Alcalde Mayor de la ciudad.,CC6_14
E,"Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- A ratos, las cosas de la política y el gobierno parecen tan complicadas que personas como yo no pueden entenderlas realmente.",CC6_15
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-El alcalde de CIUDAD debe discutir con los concejales los nombramientos en algunos cargos públicos.,CC6_16
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-El Concejo representa bien la composición e intereses de la ciudadanía .,CC6_17
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- El manejo administrativo y financiero del Concejo es transparente.,CC6_18
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Las recomendaciones del Concejo son tenidas en cuenta por el Alcalde,CC6_19
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o desacuerdo está  El Alcalde de CIUDAD debe ofrecer a los concejales nombramientos o contratos si eso permite tramitar proyectos importantes para el desarrollo de la ciudad,CC6_2
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Los temas que discute el Concejo son los que le interesan a los ciudadanos,CC6_20
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Las recomendaciones y propuestas de la ciudadanía son tenidas en cuenta por el Concejo,CC6_21
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Es conveniente que en el Concejo existan sectores de oposición frente a la gestión del Alcalde,CC6_22
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- El Alcalde debe conformar una coalición con los concejales para apoyar los proyectos que favorecen a la ciudad,CC6_23
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Los concejales deben debatir a puerta cerrada con el Alcalde los temas de interés para la ciudad,CC6_24
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Los actuales concejales no aportan nada para el desarrollo de la ciudad.,CC6_26
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Algunos concejales de Bogotá obstaculizan el desarrollo de la ciudad.,CC6_27
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está - Es importante que en el Concejo de CIUDAD existan sectores que cuestionen a la Administración Municipal,CC6_3
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está con cada una de ellas Es importante que la ciudadanía vigile la labor del Concejo de CIUDAD,CC6_4
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está con cada una de ellas El Concejo está trabajando en temas vitales para la calidad de vida en la ciudad,CC6_5
E,"Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Durante el primer semestre del año, la relación entre la Alcaldía y el Concejo de CIUDAD fue constructiva",CC6_6
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-Los concejales de CIUDAD trabajan por la ciudad.,CC6_7
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está- Los concejales de CIUDAD solo favorecen a quienes votan por ellos.,CC6_8
E,Voy a leerle frases sobre el Concejo de CIUDAD ¿qué tan de acuerdo o en desacuerdo está-.Hay que apoyar a un concejal si uno quiere que él lo apoye a uno.,CC6_9
N,"De las opciones contenidas en esta tarjeta, ¿cómo votó Usted en las pasadas elecciones al Concejo de su CIUDAD?",CC6A
N,"De las opciones contenidas en esta tarjeta, ¿qué fue lo que más lo(a) motivó para votar por un candidato o partido en las pasadas elecciones al consejo su CIUDAD?",CC6B
N,"De las opciones contenidas en esta tarjeta, ¿cuál fue la principal razón por la cual no votó en las pasadas elecciones al Concejo de su CIUDAD?",CC6C
N,"Cuando se elija el alcalde de la ciudad, también se elegirán concejales. ¿ que tan probable es que usted personalmente vote para esas elecciones??",CC6D
N,"De las opciones contenidas en esta tarjeta, ¿cuál fue la principal razón por la cual no votó en las pasadas elecciones al Concejo de Barranquilla?",CC6E
N,"¿Cree que el Concejo de LA CIUDAD, está haciendo cosas por mejorar la calidad de vida de las personas como usted?",CC6F
N,"¿En el último año, ha asistido a alguna sesión o audiencia pública en el Concejo?",CC6G
N,"En los últimos 12 meses ¿Usted ha participado de cualquier forma en los proyectos que se debaten en el Concejo de Yumbo, bien sea asistiendo personalmente o dando ideas a alguien para que las lleve al Concejo",CC6H
N,¿Sabe Usted que hay una Junta Administradora Local “JAL” compuesta por ediles que son elegidos popularmente en las localidades?,CC7
N,Sabe Usted que hay una Junta de Acción Comunal “JAC” en su barrio?,CC7A
E,"¿Qué tan Responsable es el Concejo de CIUDAD en una escala de 1 a 5, siendo 1 nada y 5 Mucho?",CC7B_1
E,"¿Qué tan Neutrales el Concejo de CIUDAD en una escala de 1 a 5, siendo 1 nada y 5 Mucho?",CC7B_2
E,"¿Qué tan 	Honrado es el Concejo de CIUDAD en una escala de 1 a 5, siendo 1 nada y 5 Mucho?",CC7B_3
E,"¿Qué tan Cuidadosos con sus gastos es el Concejo de CIUDAD en una escala de 1 a 5, siendo 1 nada y 5 Mucho?",CC7B_4
E,"En caso afirmativo, califique las siguientes frases de 1 a 5, donde 1 es que está completamente en desacuerdo y 5 es que está completamente de acuerdo: Los concejales se preparan para hacer buenas intervenciones en las sesiones",CC7C_1
E,"En caso afirmativo, califique las siguientes frases de 1 a 5, donde 1 es que está completamente en desacuerdo y 5 es que está completamente de acuerdo: Los concejales dedican tiempo suficiente a los temas que estudian",CC7C_2
E,"En caso afirmativo, califique las siguientes frases de 1 a 5, donde 1 es que está completamente en desacuerdo y 5 es que está completamente de acuerdo: Los concejales se levantan mucho de sus puestos",CC7C_3
E,"En caso afirmativo, califique las siguientes frases de 1 a 5, donde 1 es que está completamente en desacuerdo y 5 es que está completamente de acuerdo: Muchos concejales no intervienen en las sesiones",CC7C_4
E,¿Qué tan importante es para usted que el Concejo discuta cada uno de ellos? En una escala de 1 a 5 :  La reforma tributaria: aumentar los impuestos en general,CC7D_1
E,"De los temas que le voy a leer ¿Qué tan importante es para usted que el Concejo discuta cada uno de ellos?-La reforma al código de la policía: reglas de convivencia, procedimientos de policía y cultura ciudadana.",CC7D_2
E,De los temas que le voy a leer ¿Qué tan importante es para usted que el Concejo discuta cada uno de ellos?-La prohibición de usar animales en los circos y el mejoramiento del trato a los animales.,CC7D_3
E,De los temas que le voy a leer ¿qué tan importante es para usted que el Concejo los discuta ? de 1 a 5 donde 5 es muy importante y 1 nada importante :  El cuestionamiento a la gestión de funcionarios o entidades del distrito.,CC7D_4
E,De los temas que le voy a leer ¿qué tan importante es para usted que el Concejo discuta cada uno de ellos? En una escala de 1 a 5:  El Plan de Desarrollo de la ciudad,CC7D_5
N,De estos temas que le acabo de mencionar ¿cuáles está discutiendo el Concejo de (CIUDAD)  en la actualidad?  La reforma tributaria: aumentar los impuestos en general.,CC7E_1
N,"De estos temas que le acabo de mencionar ¿cuáles está discutiendo el Concejo de (CIUDAD)  en la actualidad?  La reforma al código de la policía: reglas de convivencia, procedimientos de policía y cultura ciudadana.",CC7E_2
N,De estos temas que le acabo de mencionar ¿cuáles está discutiendo el Concejo de (CIUDAD)  en la actualidad?  La prohibición de usar animales en los circos y el mejoramiento del trato a los animales.,CC7E_3
N,De estos temas que le acabo de mencionar ¿cuáles está discutiendo el Concejo de (CIUDAD)  en la actualidad?  El cuestionamiento a la gestión de funcionarios o entidades del distrito.,CC7E_4
N,De estos temas que le acabo de mencionar ¿cuáles está discutiendo el Concejo de (CIUDAD)  en la actualidad?  El Plan de Desarrollo de la ciudad,CC7E_5
N,¿Conoce Usted el trabajo desarrollado por la Junta Administradora Local “JAL” y los ediles de la localidad en la que reside?,CC8
N,¿Conoce usted o había escuchado [HABLAR] antes sobre el Programa [CIUDAD] Cómo Vamos?,CC9
C,¿Y cómo se enteró del Programa Concejo Cómo Vamos?,CC9A_*
N,"Usted ha oído hablar, o ha visto algo sobre…",CC9B
C,"Usted ha oído hablar, o ha visto algo sobre…",CC9C_*
N,CIUDAD,CIUDAD
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""En [CIUDAD] es fácil encontrar trabajo""?",CO1_1
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""Se puede ser optimista sobre la situación futura de la economía de [CIUDAD]""?",CO1_2
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""	Emcali volverá a hacer  una empresa líder que impulsara el desarrollo de Cali""?",CO1_3
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""	Las Mega obras se van a culminar exitosamente""",CO1_4
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""	El M.I.O se fortalecerá cada vez mas y se terminara de implementar en toda la ciudad""",CO1_5
E,"De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""En [CIUDAD] es fácil encontrar trabajo""?. Las nuevas  agencias de empleo sí han servido para encontrar empleo",CO1_6
E,"	De 1 que es nada a 5 que es totalmente, ¿qué tan de acuerdo está Usted con que ""En [CIUDAD] es fácil encontrar trabajo""?  Seguimos con los mismos problemas de desempleo en [CIUDAD]",CO1_7
E,"¿Qué tan satisfecho está usted con ""El trabajo o la actividad que realiza"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_1
E,"¿Qué tan satisfecho está usted con ""El dinero que gana por su trabajo o actividad"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_2
E,"¿Qué tan satisfecho está usted con ""La cantidad de esfuerzo que realiza en su trabajo o actividad"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_3
E,"¿Qué tan satisfecho está usted con ""El futuro que tiene con esta actividad"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_4
E,"¿Qué tan satisfecho está usted con ""La disponibilidad de tiempo para usted mismo"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_5
E,"¿Qué tan satisfecho está usted con ""La actividad que realiza según sus capacidades y educación recibida"" siendo 1 muy insatisfecho y 5 muy satisfecho? Puede utilizar cualquier número de la escala.",CO10_6
N,"En los próximos seis meses, ¿Usted se ve a sí mismo trabajando en su actividad o trabajo actual?",CO11
N,"En el último año, ¿este hogar ha tenido alguna dificultad económica que haya dado lugar a retrasos en alguno de los pagos del hogar?",CO12
N,"En el último año, ¿este hogar ha tenido alguna dificultad económica que haya dado lugar a retrasos en alguno de los pagos de los servicios públicos?",CO12A
N,¿Qué es lo primero que ha sacrificado el hogar al no tener con que pagar?,CO13
N,¿Cuál servicio público?/¿Cuál servicio público ha tenido mayores dificultades para pagar?,CO14
N,Otras personas nos han manifestado que han sufrido la suspensión del servicio por el no pago. En el último año le han suspendido por no pagar alguno de los siguientes servicios?,CO14A
C,Otras personas nos han manifestado que han sufrido la suspensión del servicio por el no pago. En el último año le han suspendido por no pagar alguno de los siguientes servicios?,CO14B_*
N,"Incluyendo todos los aportes que los miembros hacen al ingreso del hogar, ¿de cuánto es el ingreso total mensual del que dispone este hogar para gastar en la satisfacción de sus necesidades? ",CO15
N,Otras personas nos han manifestado que han sufrido la suspensión del servicio por el no pago. En el último año le han suspendido por no pagar alguno de los siguientes servicios?,CO16
N,¿Usted o algún miembro de su hogar es empresario o tiene algún negocio?,CO17
N,"El próximo año, la situación económica de su hogar",CO18
N,¿Usted o algún miembro de su hogar tiene planeado comprar carro en el próximo mes?,CO19
E,"En una escala de uno a cinco, siendo uno muy insatisfecho y cinco muy satisfecho ¿Qué tan satisfecho se encuentra usted con la situación laboral de los miembros de su hogar, es decir con la situación de aquellos que trabajan y/o buscan trabajo?",CO1A
C,¿Podría decirme por qué tiene esa opinión? ¿Alguna otra razón? ¿Podría explicarme un poco más su respuesta?,CO1B_*
C,¿Podría decirme por qué tiene esa opinión? ¿Alguna otra razón? ¿Podría explicarme un poco más su respuesta?,CO1B_12_*
C,¿Podría decirme por qué tiene esa opinión? ¿Alguna otra razón? ¿Podría explicarme un poco más su respuesta?,CO1B_3_*
C,¿Podría decirme por qué tiene esa opinión? ¿Alguna otra razón? ¿Podría explicarme un poco más su respuesta?,CO1B_45_*
E,"Durante el último año, la situación económica de su hogar…",CO2
N,¿Ha recibido alguna ayuda del gobierno por medio de los programas Familias en Acción o Red Unidos??,CO21
E,"Usando las opciones de esta tarjeta donde 1 es nada y 5 es mucho, en su opinión ¿qué tanto estas ayudas del gobierno han hecho que su calidad de vida sea mejor ahora, que antes de comenzar a recibirlas?",CO21A
E,"¿Qué tan satisfecho(a) está usted en general con programas de empleo que adelanta el gobierno municipal, usando estas opciones? Puede utilizar cualquier número de la escala. Si no conoce los programas de empleo, simplemente dígamelo.",CO22
N,"Pensando en el jefe de este hogar, durante los últimos 30 días él o ella…",CO23
N, Y el jefe de este hogar trabajó,CO24
N,¿Está usted de acuerdo o en desacuerdo con generar incentivos para que lleguen más empresas al municipio de Yumbo?,CO25
C,¿Cuál es la razón para considerar que la situación económica de su hogar ha empeorado en el último año?,CO3_*
N,¿Podría decirme si usted se considera pobre?,CO4
TXT,¿Por qué NO se considera pobre?,CO4_NO_BOG_05
TXT,¿Por qué NO se considera pobre?,CO4_NO_MED_06
TXT,¿Por qué SI se considera pobre?,CO4_SI_BOG_05
TXT,¿Por qué SI se considera pobre?,CO4_SI_MED_06
C,¿Por qué NO se considera pobre?,CO4A_NO_*
C,¿Por qué SI se considera pobre?,CO4A_SI_*
C,"Entre el 2006 y este año, ¿cuáles de los siguientes eventos se presentaron en el hogar?",CO4B_*
C,¿Qué medidas tomaron para hacerle frente a estos eventos?,CO4C_*
E,"De 1 que es completamente en desacuerdo a 5 que es completamente de acuerdo, ¿qué tan de acuerdo está Usted con que ""en [CIUDAD] es fácil encontrar trabajo""?",CO5_1
E,"De 1 que es completamente en desacuerdo a 5 que es completamente de acuerdo, ¿qué tan de acuerdo está Usted con que ""en [CIUDAD] es fácil crear empresa""?",CO5_2
E,"De 1 que es completamente en desacuerdo a 5 que es completamente de acuerdo, ¿qué tan de acuerdo está Usted con que ""se puede ser optimista sobre la situación futura de la economía de [CIUDAD]""?",CO5_3
E,"De 1 que es completamente en desacuerdo a 5 que es completamente de acuerdo, ¿qué tan de acuerdo está Usted con que ""Usted tiene los conocimientos, habilidades y experiencia para iniciar su propio negocio""?",CO5_4
E,"De 1 que es completamente en desacuerdo a 5 que es completamente de acuerdo, ¿qué tan de acuerdo está Usted con que ""[CIUDAD] es una ciudad preparada para apoyar a los nuevos empresarios""?",CO5_5
N,¿Cuál cree usted que es el mayor obstáculo para crear empresa?,CO6
N,¿Usted quisiera montar una empresa o negocio en los próximos SEIS meses?,CO7
N,"En su opinión, ¿los ingresos de este hogar en el último año...?",CO8
N,"En los últimos tres meses, ¿usted ha tenido alguna actividad que le genere dinero?",CO9
C,"De los siguientes medios, ¿por cuáles se entera Usted sobre lo que pasa en la CIUDAD",COM1_*
N,¿Usted considera que la manera como se entera de la información de Yumbo es…? ,COM2
N,¿En general cómo califica la calidad de la información que recibe? ,COM3
C,En la ciudad se realizan durante el año actividades culturales y recreativas ¿En cuál o cuáles de las actividades descritas en esta tarjeta participó usted en el último año en [CIUDAD] [CON REGULARIDAD]?,CR1_*
TXT,¿Cuántos libros leyó en el último año?,CR1A
TXT,"¿De los libros que leyó, cuantos leyó por gusto?",CR1B_1
TXT,"¿De los libros que leyó, cuantos leyó por exigencia del trabajo?",CR1B_2
TXT,"¿De los libros que leyó, cuantos leyó por exigencia del estudio?",CR1B_3
N,En Barranquilla en los últimos años se vienen realizando una serie de actividades culturales. Le voy a leer un listado de eventos para que me diga si tiene  una imagen favorable o una imagen desfavorable. Barranquilla,CR1C_1
N,En Barranquilla en los últimos años se vienen realizando una serie de actividades culturales. Le voy a leer un listado de eventos para que me diga si tiene una imagen favorable o una imagen desfavorable. ENITBAR (Festival de teatro),CR1C_2
N,En Barranquilla se vienen realizando unas actividades culturales para el disfrute de la ciudadanía. Le voy a leer un listado de eventos para que me diga si tiene una imagen favorable o una imagen desfavorable. Barrios creativos,CR1C_3
C,"Durante el Carnaval 2011, ¿en cuál o cuáles de estas actividades participó Usted?",CR1D_*
C,¿Qué representa para usted el Carnaval de Barranquilla?,CR1E_*
E,¿Qué tan satisfecho(a) está usted en general con el Carnaval como la principal actividad cultural y recreativa de la ciudad?,CR1F
C,¿Por qué razón califica así la satisfacción con el Carnaval como la principal actividad cultural y recreativa de la ciudad?- 1 y 2,CR1F_12_*
C,¿Por qué razón califica así la satisfacción con el Carnaval como la principal actividad cultural y recreativa de la ciudad?- 3,CR1F_3_*
