Variables,id_label,label
CC10_CAR_08,1,Ayuda a identificar los problemas actuales de la Ciudad
CC10_CAR_08,2,Evalúa el avance y/o progreso de la ciudad
CC10_CAR_08,3,A conocer la calidad de vida de los ciudadanos
CC10_CAR_08,4,Evalúa como es la gestión de los gobernantes
CC10_CAR_08,5,A solucionar las problemáticas de la ciudad
CC10_CAR_08,6,Evalúa que opinión tiene la gente de su ciudad
CC10_CAR_08,7,Conocer el estado actual de la ciudad
CC10_CAR_08,8,Identificar el estado actual de los proyectos
CC10_CAR_08,9,Evaluar temas económicos de la ciudad
CC10_CAR_08,10,Evaluar los actuales servicios públicos
CC10_CAR_08,11,Evaluar la salud que se brinda en la ciudad
CC10_CAR_08,12,Evaluar el tema de movilidad
CC10_CAR_08,13,Evaluar como esta el tema de desarrollo social
CC10_CAR_08,14,Evaluar el tema de vivienda
CC10_CAR_08,15,Evaluar el tema de educación
CC10_CAR_08,16,Evaluar el tema de la seguridad
CC10_CAR_08,17,Evaluar el alumbrado público
CC10_CAR_08,18,Evaluar la recreación para los jóvenes
CC10_CAR_08,89,Otros
CC10_CAR_08,90,Ninguno
CC10_CAR_08,91,No recuerda
CC10_CAR_08,92,No sabe
CC10_CAR_08,93,No responde
CC10_CAR_08,94,Cualquiera
CC10_CAR_08,95,Todos
CC10_CAR_08,96,No aplica
CC10A,1,Muy mala gestión
CC10A,2,2
CC10A,3,3
CC10A,4,4
CC10A,5,Muy buena gestión
CC10B,1,Muy mala gestión
CC10B,2,2
CC10B,3,3
CC10B,4,4
CC10B,5,Muy buena gestión
CC11,1,Si
CC11,2,No
CC11A,1,Frecuentemente
CC11A,2,Ocasionalmente
CC11A,3,Nunca 
CC12,1,Mas generación de empleo
CC12,2,Mejorar la seguridad / hay muchos robos / muertes
CC12,3,Realizar actividades culturales
CC12,4,Mas atención para los jóvenes / niños
CC12,5,Mas atención para los adultos / tercera edad
CC12,6,Viviendas para mas personas / mejoramiento de viviendas
CC12,7,Estar pendientes de las necesidades de los barrios
CC12,8,Realizar talleres educativos / deportivos
CC12,9,Mejorar la salud
CC12,10,Mayor numero de policías
CC12,11,Arreglo de las vías / mejoramiento de las vías
CC12,12,Mejorar el agua / alcantarillado / rio
CC12,13,Desarrollo de zonas verdes / medio ambiente
CC12,14,Tener campos deportivos / canchas deportivas
CC12,15,Mejorar la convivencia / integración entre los ciudadanos
CC12,16,Ayudar a la gente de escasos recursos
CC12,17,Mejorar los servicios públicos
CC12,18,Mejorar el alumbrado / electricidad
CC12,19,Mejorar los problemas de drogas
CC12,20,Tener espacios para la recreación
CC12,21,Aseo de los barrios
CC12,22,Mejorar los parques
CC12,23,Organizar los barrios / mejorar los barrios
CC12,24,Realizar obras sociales
CC12,25,Buscar el bienestar de la comunidad
CC12,26,Mejorar el transporte
CC12,27,Dar mayor información a los ciudadanos de lo que esta pasando
CC12,28,Mayor señalización
CC12,29,Menos contaminación auditiva
CC12,30,Tener en cuenta la opinión de los ciudadanos
CC12,31,La persona que este a cargo se de a conocer
CC12,32,Cumplir con todo lo pactado
CC12,89,Otros
CC12,90,Ninguno
CC12,92,No Sabe / No Responde
CC12,93,No responde
CC13,1,Si
CC13,2,No
CC13,92,No Sabe / No Responde
CC13A,1,Sí están haciendo cosas por la ciudad
CC13A,2,No están haciendo cosas por la ciudad
CC13A,92,No Sabe / No Responde
CC13B,1,Muy insatisfecho
CC13B,2,2
CC13B,3,3
CC13B,4,4
CC13B,5,Muy satisfecho
CC14,1,En todas las elecciones
CC14,2,En la mayoría
CC14,3,Solo en algunas.
CC14,4,No voto nunca
CC14,92,No Sabe / No Responde
CC14,93,No responde
CC15,4,Presidente de la republica
CC15,5,Congreso
CC15,6,Alcalde
CC15,7,Concejo
CC15,90,Ninguna de las Anteriores
CC15,91,No Recuerda
CC15,92,No Sabe / No Responde
CC15,93,No responde
CC15A,4,Presidente de la republica
CC15A,5,Congreso
CC15A,6,Alcalde
CC15A,7,Concejo
CC15A,90,Ninguna de las Anteriores
CC15A,91,No Recuerda
CC15A,92,No Sabe / No Responde
CC15A,93,No responde
CC16,1,	Apoyar a las personas que votaron por él.
CC16,2,Defender a los ciudadanos de las decisiones adoptadas por el alcalde u otros funcionarios Distritales
CC16,3,	Asegurar la defensa del interés común y expedir normas en beneficio de todos los ciudadanos
CC16,4,"	Señalar los sectores, comunidades o temas a los que se les debe destinar presupuesto del distrito."
CC16,5,	Expedir normas para el distrito y controlar la gestión del Alcalde.
CC16,6,Servir como intermediario entre los ciudadanos y los funcionarios del distrito/Tramitar solicitudes y hacer gestión por las comunidades.
CC16,7,"Señalar los temas, comunidades o barrios a los que se les deben asignar los recursos del presupuesto"
CC16,8,Cumplir con lo prometido en su programa
CC16,9,"Ayudar / Apoyar a las personas más necesitadas, los pobres / Los niños"
CC16,10,Trabajar por el pueblo / los ciudadanos
CC16,11,No esta de acuerdo con la función o el desempeño de los concejales
CC16,89,Otra. ¿Cuál?________________________________________________________
CC16,90,Ninguno
CC16,91,No Recuerda
CC16,92,No Sabe / No Responde
CC16,93,No Responde
CC16,94,Cualquiera
CC16,95,Todos
CC16,96,No Aplica
CC16,97,Ningún Otro
CC17,1,Carlos Díaz
CC17,2,Cesar Anaya
CC17,3,Juan Carlos Gossain
CC17,4,Argemiro Bermúdez
CC17,5,Miguel Navas
CC17,6,Amaury Martelo
CC17,7,Flavio Romero
CC17,8,Yonny Copete
CC17,9,Rafael Vergara
CC17,10,Judith Pinedo
CC17,11,Dionisio Vélez
CC17,12,Claudia Fadul
CC17,13,Javier Bustillo
CC17,14,Voto en blanco
CC17,90,Ninguna de las anteriores
CC17,92,No Sabe / No Responde
CC17,94,Cualquiera
CC18,1,"Definitivamente votará

01	Definitivamente votará"
CC18,2,Probablemente votará
CC18,3,Aún No sabe si votará o no votará
CC18,4,Probablemente no votará
CC18,5,Definitivamente no votará
CC18,93,No responde
CC19,1,"El programa “Ciudad Educadora” para aumentar la cobertura, integrar a la comunidad y a la ciudadanía en el proceso educativo y fortalecer el sistema educativo"
CC19,2,El programa “Cartagena es Saludable” para mejorar la calidad y acceso de toda la población a los servicios de salud
CC19,3,"El programa para el desarrollo social de la familia, la mujer, los niños, los adultos mayores y los discapacitados"
CC19,4,El programa que busca generar mejores ingresos y más empleo para fortalecer la economía local.
CC19,5,El programa que busca lograr un crecimiento más ordenado de Cartagena y mejorar el acceso a vivienda digna de la población
CC19,6,El programa que busca construir cultura ciudadana y fortalecer las tradiciones y expresiones culturales de los cartageneros
CC19,7,El programa que busca mejorar la seguridad en Cartagena logrando una mayor cercanía de la ciudadanía y la policía
CC19,8,El programa que busca un mayor disfrute y aprovechamiento del espacio público existentes en la ciudad
CC19,9,"El programa que busca aumentar la competitividad de Cartagena como centro industrial, logístico, portuario y turístico y la integración con las demás ciudades del Caribe colombiano"
CC19,10,El programa que fortalezca la descentralización administrativa y las finanzas del distrito
CC19,11,"Los programas para impulsar la realización de la Ampliación de la Refinería, los Juegos Centroamericanos y TransCaribe"
CC19,90,Ninguno
CC19_CAR_05,1,"El programa “Ciudad Educadora” para aumentar la cobertura, integrar a la comunidad y a la ciudadanía en el proceso educativo y fortalecer el sistema educativo"
CC19_CAR_05,2,El programa “Cartagena es Saludable” para mejorar la calidad y acceso de toda la población a los servicios de salud
CC19_CAR_05,3,"El programa para el desarrollo social de la familia, la mujer, los niños, los adultos mayores y los discapacitados"
CC19_CAR_05,4,El programa que busca generar mejores ingresos y más empleo para fortalecer la economía local.
CC19_CAR_05,5,El programa que busca lograr un crecimiento más ordenado de Cartagena y mejorar el acceso a vivienda digna de la población
CC19_CAR_05,6,El programa que busca construir cultura ciudadana y fortalecer las tradiciones y expresiones culturales de los cartageneros
CC19_CAR_05,7,El programa que busca mejorar la seguridad en Cartagena logrando una mayor cercanía de la ciudadanía y la policía
CC19_CAR_05,8,El programa que busca un mayor disfrute y aprovechamiento del espacio público existentes en la ciudad
CC19_CAR_05,9,"El programa que busca aumentar la competitividad de Cartagena como centro industrial, logístico, portuario y turístico y la integración con las demás ciudades del Caribe colombiano"
CC19_CAR_05,10,El programa que fortalezca la descentralización administrativa y las finanzas del distrito
CC19_CAR_05,11,"Los programas para impulsar la realización de la Ampliación de la Refinería, los Juegos Centroamericanos y TransCaribe"
CC19_CAR_05,90,Ninguno
CC1A,1,Televisión
CC1A,2,Prensa escrita local; periódicos locales
CC1A,3,Emisoras de radio locales
CC1A,4,Internet
CC1A,5,Prensa escrita nacional
CC1A,6,Reuniones de la Alcaldía
CC1A,7,Información de líderes comunitarios
CC1A,8,Información de alguna ONG
CC1A,9,Conversaciones con otras personas
CC1A,10,Radio comunitaria
CC1A,11,Foros
CC1A,12,Instituciones educativas
CC1A,14,Noticias
CC1A,15,Revistas
CC1A,16,Folletos / Volantes
CC1A,17,Radio nacional
CC1A,18,Por muchos comentarios en general
CC1A,89,Otro. ¿Cuál?
CC1A,90,Ninguno
CC1A,91,No Recuerda
CC1A,92,No Sabe / No Responde
CC1A,93,No responde
CC1A,94,Cualquiera
CC1A,95,Todos
CC1A,96,No aplica
CC2,1,Favorable
CC2,2,Desfavorable
CC2,4,No la conoce
CC2,92,No Sabe / No Responde
CC20,1,Carlos Coronado
CC20,2,Carlos Galindo
CC20,3,Cesar Anaya
CC20,4,Héctor Pérez
CC20,5,Jaime Espinosa Faciolince
CC20,6,Javier Bustillo
CC20,7,Juan Carlos Gossain
CC20,8,Julio Naar
CC20,9,Julio Varela
CC20,10,Junio Fernández
CC20,11,Luis Yarzagaray
CC20,12,Mery Luz Londoño
CC20,13,Milton Fernández
CC20,14,Willy Martínez
CC20,90,Ninguno de los anteriores
CC20,92,No Sabe / No Responde
CC20,94,Cualquiera
CC21,1,Sí Votó
CC21,2,No Votó
CC21,91,No Recuerda
CC21,93,No responde
CC22,1,Liberal
CC22,2,Conservador
CC22,3,Polo Democrático
CC22,4,Independiente
CC22,5,No tiene partido
CC22,93,No responde
CC23,1,"El programa para mejorar el nivel de vida en los barrios más pobres de Bogotá, mejorando sus vías, servicios de salud, de educación, de recreación y servicios públicos en general."
CC23,2,El programa que busca mejorar la calidad y acceso de toda la población a los servicios de salud y educación
CC23,3,"El programa para que la ciudadanía pueda disfrutar más de los espacios públicos, de recreación y de deporte"
CC23,4,"El programa que busca reducir el tiempo de los desplazamientos en Bogotá, manejando el tráfico y mejorando la infraestructura vial principalmente."
CC23,5,El programa que busca lograr un crecimiento más ordenado de Bogotá y ofrecer más oportunidades de vivienda de interés social
CC23,6,El programa que busca mejorar la seguridad en Bogotá logrando una mayor cercanía de la ciudadanía y la policía del Distrito
CC23,7,El programa que busca que las entidades públicas del Distrito sean cada vez más modernas y eficientes.
CC23,90,Ninguno
CC23_*,1,"El programa para mejorar el nivel de vida en los barrios más pobres de Bogotá, mejorando sus vías, servicios de salud, de educación, de recreación y servicios públicos en general."
CC23_*,2,El programa que busca mejorar la calidad y acceso de toda la población a los servicios de salud y educación
CC23_*,3,"El programa para que la ciudadanía pueda disfrutar más de los espacios públicos, de recreación y de deporte"
CC23_*,4,"El programa que busca reducir el tiempo de los desplazamientos en Bogotá, manejando el tráfico y mejorando la infraestructura vial principalmente."
CC23_*,5,El programa que busca lograr un crecimiento más ordenado de Bogotá y ofrecer más oportunidades de vivienda de interés social
CC23_*,6,El programa que busca mejorar la seguridad en Bogotá logrando una mayor cercanía de la ciudadanía y la policía del Distrito
CC23_*,7,El programa que busca que las entidades públicas del Distrito sean cada vez más modernas y eficientes.
CC23_*,90,Ninguno
CC24,1,	Antanas Mockus
CC24,2,Carlos Moreno de Caro
CC24,3,	Héctor Riveros
CC24,4,	Jairo Clopatofsky
CC24,5,	José Blackburn
CC24,6,María Emma Mejía
CC24,7,	Miguel Ángel Bermúdez
CC24,8,Patricia Cárdenas
CC24,9,	Sabas Pretelt de la Vega
CC24,90,	Ninguno de los anteriores
CC24,92,	No sabe / No responde
CC24,94,Cualquiera
CC2A,1,Si
CC2A,2,No
CC3,1,Ejercer control político a las actuaciones de la Administración Distrital
CC3,2,Elegir los miembros de las Juntas Administradoras Locales JAL
CC3,3,Definir los miembros del gabinete del Alcalde Mayor
CC3,4,Aprobar iniciativas normativas/ Acuerdos
CC3,5,Defender a los ciudadanos de las decisiones adoptadas por el Alcalde o por las entidades municipales.
CC3,6,Gestionar el trámite de solicitudes de las comunidades y/o de los ciudadanos ante las entidades del municipio.
CC3,7,Expedir normas aplicables al Municipio y controlar la gestión del Alcalde y directores de entidades del Municipio.
CC3,8,"Aprobar el presupuesto municipal y seleccionar los sectores, comunidades o temas a los que se les destinará el presupuesto."
CC3,9,Asegurar la defensa del interés común y expedir normas en beneficio de todos los ciudadanos.
CC3,10,Servir como intermediario y representante entre la ciudadanía y el alcalde municipal.
CC3,11,"	Señalar los temas, comunidades o barrios a los que se les debe asignar los recursos del  presupuesto."
CC3,12,Expedir normas en beneficio de todos los ciudadanos
CC3,13,	Servir como intermediario y representante entre la ciudadanía y el alcalde mayor.
CC3,14,Expedir normas aplicables al distrito y controlar la gestión del Alcalde y directores de entidades del distrito.
CC3,15,"Aprobar el presupuesto Distrital y seleccionar los sectores, comunidades o temas a los que se les destinará el presupuesto."
CC3,89,Otra. ¿Cuál?
CC3,90,Ninguno
CC3,92,No Sabe / No Responde
CC3A,1,Sí sabe
CC3A,2,No sabe
CC4,1,Movilidad y transporte
CC4,2,Vías/ Malla vial/ Obras públicas
CC4,3,Denuncias sobre contratación o manejo de dineros
CC4,4,Niñez
CC4,5,Penas para violadores/ abusadores de niños
CC4,6,Seguridad ciudadana/ Orden público/ Violencia
CC4,7,Educación
CC4,8,Protección a la mujer
CC4,9,Salud
CC4,10,Control a las acciones del alcalde/ Control político
CC4,11,Ordenamiento territorial/ Espacio público
CC4,12,Medio ambiente
CC4,13,Impuestos
CC4,14,Presupuesto
CC4,15,Vivienda
CC4,16,No ha escuchado alguno/Los medios no informan sobre algún tema
CC4,17,No hacen nada/ solo escuchan cosas malas sobre el consejo
CC4,18,Tratan temas pero sin resultados positivos
CC4,19,Comedores comunitarios
CC4,20,Aumento de impuestos
CC4,21,Control político y vigilancia
CC4,22,Pobreza/Desempleo/Desempleados
CC4,23,Cultura/Recreación/Deporte
CC4,24,Desarrollo económico
CC4,25,Protección a los niños
CC4,26,Bajar tarifas de los servicios públicos
CC4,27,Prohibición de armas / Programa de desarme
CC4,28,Mejoras en el transporte
CC4,29,La prohibición de fumar en sitios públicos / Prohibir la venta de cigarrillos al detal
CC4,30,Prohibir la venta de licor y cigarrillos a los menores de edad
CC4,31,Ley que prohíbe a los menores de edad estar fuera de sus casas después de las 10 de la noche
CC4,32,Las obras por la ampliación de vías para transmilenio
CC4,33,Ayuda a los desplazados
CC4,34,Generación de empleo
CC4,35,Facilitar el acceso a la adquisición de vivienda
CC4,36,"Fomento, apoyo e infraestructura para la educación"
CC4,37,Construcción del metro
CC4,38,Programas contra la drogadicción
CC4,39,Combatir la corrupción / La delincuencia / La violencia
CC4,40,Trabajar contra la violencia intrafamiliar
CC4,41,Guerrilla / Narcotráfico / Narco política / Para política
CC4,42,La reelección del presidente Uribe
CC4,43,Leyes contra el secuestro / Liberación de los secuestrados
CC4,44,El cobro en los parqueaderos públicos
CC4,45,"La privatización de las empresas municipales de Cali (Emcali, EmSirva)"
CC4,46,Trabajar por la educación
CC4,47,Las obras del MIO
CC4,48,La vivienda/Vivienda de interés social
CC4,49,Programas de salud
CC4,50,Empresas de servicios públicos (precios)  / Empresas municipales
CC4,51,Mejorar espacios en la ciudad / Infraestructura
CC4,52,"Apoyo a población vulnerable (niños, jóvenes, mujeres cabeza de familia, desplazados)"
CC4,53,Obras del TransMetro
CC4,54,Mejoramiento de vías/Calles
CC4,55,La dirección del carnaval
CC4,56,"Proyectos de la ciudad (mejoras, infraestructura, espacio público, construcción)"
CC4,57,Chuzadas telefónicas
CC4,58,Relacionados con el alcalde
CC4,59,La corrupción
CC4,60,Presupuesto distrital
CC4,61,Inversión en programas sociales / reducción de la pobreza
CC4,89,Otros
CC4,90,No recuerda
CC4,91,No Recuerda
CC4,92,No Sabe / No Responde
CC4,93,No responde
CC4,96,No aplica
CC4A,1,Televisión
CC4A,2,Prensa escrita local (periódicos locales)
CC4A,3,Emisoras de radio locales
CC4A,4,Internet
CC4A,5,Prensa escrita nacional
CC4A,6,Reuniones de la Alcaldía Mayor
CC4A,7,Información de líderes comunitarios
CC4A,8,Información de una ONG
CC4A,9,Conversaciones con personas
CC4A,10,Radio comunitaria
CC4A,11,Foros
CC4A,12,Instituciones educativas
CC4A,89,Otra. ¿Cuál?
CC4A,90,Ninguna
CC4A,92,No Sabe / No Responde
CC4B,1,Centro de Convenciones
CC4B,2,Cultura ciudadana
CC4B,3,Educación
CC4B,4,Espacio público
CC4B,5,Finanzas del Distrito
CC4B,6,Gestión gubernamental
CC4B,7,Grupos Vulnerables
CC4B,8,Infraestructura
CC4B,9,Medio ambiente
CC4B,10,Movilidad vial
CC4B,11,"Recreación, cultura y deporte"
CC4B,12,Salud
CC4B,13,Seguridad
CC4B,14,Servicios públicos
CC4B,15,Transmetro
CC4B,16,Empleo
CC4B,17,Generación de vivienda
CC4B,89,Otro. ¿Cuál?
CC4B,90,Ninguno
CC4B,92,No Sabe / No Responde
CC4C,1,Centro de Convenciones
CC4C,2,Cultura ciudadana
CC4C,3,Educación
CC4C,4,Espacio público
CC4C,5,Finanzas del Distrito
CC4C,6,Gestión gubernamental
CC4C,7,Grupos Vulnerables
CC4C,8,Infraestructura
CC4C,9,Medio ambiente
CC4C,10,Movilidad vial
CC4C,11,"Recreación, cultura y deporte"
CC4C,12,Salud
CC4C,13,Seguridad
CC4C,14,Servicios públicos
CC4C,15,Transmetro
CC4C,89,Otro. ¿Cuál?
CC4C,90,Ninguno
CC4C,92,No Sabe / No Responde
CC4D,1,No confía nada
CC4D,2,2
CC4D,3,3
CC4D,4,4
CC4D,5,Confía Mucho
CC4D,92,No Sabe / No Responde
CC5,1,Muy mala gestión
CC5,2,2
CC5,3,3
CC5,4,4
CC5,5,Muy buena gestión
CC5,92,No Sabe / No Responde
CC5A_12,1,No cumplen lo que prometen
CC5A_12,2,Son corruptos/ Se roban la plata/ Son unos ladrones
CC5A_12,3,No trabajan por el pueblo/ por la ciudad
CC5A_12,4,Son unos politiqueros
CC5A_12,5,Solo trabajan para su propio beneficio
CC5A_12,6,No se ven los resultados de su trabajo/ No se ve el trabajo
CC5A_12,7,No apoyan al alcalde/ No trabajan con la alcaldía
CC5A_12,8,No aprueban ningún proyecto
CC5A_12,9,Solo hablan/ debaten y no hacen nada más
CC5A_12,10,No conocen los problemas de la ciudad
CC5A_12,11,No han realizado una buena gestión/ no toman buenas decisiones
CC5A_12,12,No hacen nada/ no trabajan
CC5A_12,13,No trabajan en equipo
CC5A_12,14,Trabajan a medias/ dejan los proyectos por la mitad
CC5A_12,15,No se que hacen
CC5A_12,16,No ayudan al pueblo/No colaboran con los proyectos
CC5A_12,17,Se genera mucha inseguridad
CC5A_12,18,No se saben cuales ha sido sus acciones/Proyectos
CC5A_12,19,No esta enterado de que están haciendo
CC5A_12,89,Otro. ¿Cuál?
CC5A_12,90,Ninguno
CC5A_12,92,No Sabe / No Responde
CC5A_12,93,No responde
CC5A_3,1,No cumplen lo que prometen
CC5A_3,2,Son corruptos/ Se roban la plata/ Son unos ladrones
CC5A_3,3,No trabajan por el pueblo/ por la ciudad
CC5A_3,4,Son unos politiqueros
CC5A_3,5,Solo trabajan para su propio beneficio
CC5A_3,6,No se ven los resultados de su trabajo/ No se ve el trabajo
CC5A_3,7,No apoyan al alcalde/ No trabajan con la alcaldía
CC5A_3,8,No aprueban ningún proyecto
CC5A_3,9,Solo hablan/ debaten y no hacen nada más
CC5A_3,10,No conocen los problemas de la ciudad
CC5A_3,11,No han realizado una buena gestión/ no toman buenas decisiones
CC5A_3,12,No hacen nada/ no trabajan
CC5A_3,13,No trabajan en equipo
CC5A_3,14,Trabajan a medias/ dejan los proyectos por la mitad
CC5A_3,15,No se que hacen
CC5A_3,16,No se sabe cuales han sido sus acciones/Proyectos
CC5A_3,17,Hacen falta mas acciones/trabajos por la ciudad/el pueblo
CC5A_3,18,No están pendientes de los problemas de la ciudad/Falta interés por los problemas de la ciudad
CC5A_3,19,No ayudan al pueblo/No colaboran con los proyectos/Están en contra del pueblo
CC5A_3,20,Les falta interés en la ciudad/ en la comunidad
CC5A_3,50,Han tenido buena gestión trabajan por la ciudad
CC5A_3,89,Otro. ¿Cuál?
CC5A_3,92,No Sabe / No Responde
CC5A_3,93,No responde
CC5A_45,1,Están trabajando por la ciudad
CC5A_45,2,Son los que aprueban/ gestionan los proyectos
CC5A_45,3,Dan soluciones a los problemas de la comunidad/ del barrio
CC5A_45,4,Trabajan/ apoyan al alcalde
CC5A_45,5,Cumplen con lo prometido
CC5A_45,6,Tienen una buena gestión
CC5A_45,7,Conocen las problemáticas de la ciudad
CC5A_45,8,Trabajan por lo que el alcalde no ha hecho
CC5A_45,9,Tiene una buena gestión
CC5A_45,10,Se preocupan por el bienestar de la gente/ por el pueblo
CC5A_45,11,Trabajan por la ciudad/ se preocupan por la ciudad
CC5A_45,12,Han trabajado por la educación
CC5A_45,13,Han trabajado por la salud
CC5A_45,14,Hacen control político al alcalde
CC5A_45,15,Se preocupan por los recursos de la ciudad
CC5A_45,16,Cumplen lo que prometen
CC5A_45,17,Han trabajado por la vivienda
CC5A_45,18,Han trabajado por la alimentación escolar
CC5A_45,19,Han trabajado por la educación y la salud
CC5A_45,20,"Han hecho varias obras, parques, vías"
CC5A_45,21,Desconoce las actividades que realiza el concejo
CC5A_45,22,Trabajan por la vivienda
CC5A_45,23,Trabajan por la alimentación escolar
CC5A_45,50,Le falta seguir trabajando mas por la ciudad y por el pueblo
CC5A_45,89,Otro. ¿Cuál?
CC5A_45,90,Ninguno
CC5A_45,92,No Sabe / No Responde
CC5A_45,93,No responde
CC5B,1,Nada probable
CC5B,2,2
CC5B,3,3
CC5B,4,4
CC5B,5,Muy probable
CC5C,1,Nada probable
CC5C,2,2
CC5C,3,3
CC5C,4,4
CC5C,5,Muy probable
CC5D,1,Nada probable
CC5D,2,2
CC5D,3,3
CC5D,4,4
CC5D,5,Muy probable
CC5E,1,Nada probable
CC5E,2,2
CC5E,3,3
CC5E,4,4
CC5E,5,Muy probable
CC6_1,1,Completamente en desacuerdo
CC6_1,2,2
CC6_1,3,3
CC6_1,4,4
CC6_1,5,Completamente De Acuerdo
CC6_1,92,No Sabe / No Responde
CC6_10,1,Completamente en desacuerdo
CC6_10,2,2
CC6_10,3,3
CC6_10,4,4
CC6_10,5,Completamente De Acuerdo
CC6_10,92,No Sabe / No Responde
CC6_11,1,Completamente en desacuerdo
CC6_11,2,2
CC6_11,3,3
CC6_11,4,4
CC6_11,5,Completamente De Acuerdo
CC6_11,92,No Sabe / No Responde
CC6_12,1,Completamente en desacuerdo
CC6_12,2,2
CC6_12,3,3
CC6_12,4,4
CC6_12,5,Completamente De Acuerdo
CC6_12,92,No Sabe / No Responde
CC6_13,1,Completamente en desacuerdo
CC6_13,2,2
CC6_13,3,3
CC6_13,4,4
CC6_13,5,Completamente De Acuerdo
CC6_13,92,No Sabe / No Responde
CC6_14,1,Completamente en desacuerdo
CC6_14,2,2
CC6_14,3,3
CC6_14,4,4
CC6_14,5,Completamente De Acuerdo
CC6_14,92,No Sabe / No Responde
